original_folder_name,cleaned_folder_name,original_file_name,cleaned_file_name,slug,alt_text,download_link
Celebrity_Photos,Celebrity_Photos,charlie_rocket_a.jpg,charlie_rocket_a.jpg,charlie-rocket-a,Charlie Rocket A,https://hbapi.leeseaver.com/processed/Celebrity_Photos/charlie_rocket_a.jpg
Celebrity_Photos,Celebrity_Photos,Cheryl_Tiegs.jpg,Cheryl_Tiegs.jpg,cheryl-tiegs,Cheryl Tiegs,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Cheryl_Tiegs.jpg
Celebrity_Photos,Celebrity_Photos,Cristopher_G_5366___web.jpg,Cristopher_G_5366___web.jpg,cristopher-g-5366---web,Cristopher G 5366   Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Cristopher_G_5366___web.jpg
Celebrity_Photos,Celebrity_Photos,denise_richards_3.jpg,denise_richards_3.jpg,denise-richards-3,Denise Richards 3,https://hbapi.leeseaver.com/processed/Celebrity_Photos/denise_richards_3.jpg
Celebrity_Photos,Celebrity_Photos,Donna_Mills.jpg,Donna_Mills.jpg,donna-mills,Donna Mills,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Donna_Mills.jpg
Celebrity_Photos,Celebrity_Photos,Don_Cheadle(1).jpg,Don_Cheadle(1).jpg,don-cheadle1,Don Cheadle(1),https://hbapi.leeseaver.com/processed/Celebrity_Photos/Don_Cheadle(1).jpg
Celebrity_Photos,Celebrity_Photos,Don_Cheadle.jpg,Don_Cheadle.jpg,don-cheadle,Don Cheadle,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Don_Cheadle.jpg
Celebrity_Photos,Celebrity_Photos,Englebert_Humperdinck_0265_AI_Web.jpg,Englebert_Humperdinck_0265_AI_Web.jpg,englebert-humperdinck-0265-ai-web,Englebert Humperdinck 0265 Ai Web,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Englebert_Humperdinck_0265_AI_Web.jpg
Celebrity_Photos,Celebrity_Photos,Faye_Dunaway_1.jpg,Faye_Dunaway_1.jpg,faye-dunaway-1,Faye Dunaway 1,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Faye_Dunaway_1.jpg
Celebrity_Photos,Celebrity_Photos,Fran_Drescher.jpg,Fran_Drescher.jpg,fran-drescher,Fran Drescher,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Fran_Drescher.jpg
Celebrity_Photos,Celebrity_Photos,harry_hamlin_2.jpg,harry_hamlin_2.jpg,harry-hamlin-2,Harry Hamlin 2,https://hbapi.leeseaver.com/processed/Celebrity_Photos/harry_hamlin_2.jpg
Celebrity_Photos,Celebrity_Photos,Heather_Lockllear.jpg,Heather_Lockllear.jpg,heather-lockllear,Heather Lockllear,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Heather_Lockllear.jpg
Celebrity_Photos,Celebrity_Photos,Henry_Thomas.jpg,Henry_Thomas.jpg,henry-thomas,Henry Thomas,https://hbapi.leeseaver.com/processed/Celebrity_Photos/Henry_Thomas.jpg
Celebrity_Photos,Celebrity_Photos,jada_pinkett_.jpg,jada_pinkett_.jpg,jada-pinkett-,Jada Pinkett ,https://hbapi.leeseaver.com/processed/Celebrity_Photos/jada_pinkett_.jpg
Celebrity_Photos,Celebrity_Photos,James_Wood.jpg,James_Wood.jpg,james-wood,James Wood,https://hbapi.leeseaver.com/processed/Celebrity_Photos/James_Wood.jpg
